"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46"
0 0 0 4 6 13 19 60 84 111 188 332 476 760 1122 1808 2690 4057 6160 9084 13125 18529 25234 33882 43248 54091 64796 76366 87186 96280 103599 109259 113749 116539 116896 115803 113940 111624 107323 103273 99006 94505 90250 85883 82238 77973
0 0 4 0 6 14 23 39 69 108 181 287 460 724 1162 1801 2804 4111 6140 9112 13022 18572 25152 34106 43255 53762 64788 75782 86363 96189 103254 109595 113866 116664 116406 116609 114012 111170 107572 103433 98466 94212 90411 85643 81981 78638
0 0 0 1 11 10 25 45 54 105 207 288 503 772 1172 1759 2707 4099 6201 9022 13037 18392 25330 33763 43202 53849 65607 75753 86174 96393 103750 110114 114172 115999 116872 116575 113906 110820 107626 103308 99428 94957 90416 85633 82281 77967
0 0 1 2 7 21 34 34 80 126 215 316 438 726 1141 1826 2808 4212 6038 9306 12971 18402 25395 33484 43131 54048 65139 76056 86947 95227 103786 109683 113898 115678 116949 116017 114158 111099 106963 103315 98954 94733 90007 86233 82034 78067
0 0 2 2 9 9 31 32 77 120 196 309 523 727 1130 1811 2832 4121 6222 9072 13103 18703 25321 33375 43788 53427 65197 76364 86930 96063 103765 109613 113868 116428 117458 115999 114575 111238 107754 103546 99558 94343 90185 86158 82015 78313
0 0 3 5 12 16 31 52 81 131 192 299 471 789 1227 1815 2634 4214 6315 9103 13228 18315 25302 33747 42967 53894 65172 75545 86709 95624 103850 110000 114320 116044 117297 115781 113908 111633 107275 104145 99652 94846 89829 86179 81429 78003
0 0 2 3 6 13 30 38 72 122 192 305 484 736 1169 1793 2649 4160 6216 8972 13204 18476 25109 33648 43706 53786 64999 76347 86880 96005 104502 109860 113128 116193 117421 115801 113458 111699 107248 103040 98912 94559 90027 86075 82277 78519
0 0 1 3 9 17 23 46 79 119 203 316 449 729 1157 1669 2748 4083 6274 9090 13077 18306 25309 33478 43031 54033 64977 76106 86610 95506 103184 109604 114092 115594 117014 116227 113952 111384 107459 103477 98387 94301 90806 85547 82071 77966
0 0 2 6 3 12 26 40 89 129 219 320 485 810 1129 1755 2532 4178 6205 9032 13192 18270 25422 33750 43098 53441 64518 75736 86926 95840 103852 110584 114093 116723 117335 115890 114039 111086 107233 103417 98856 94662 90212 86015 81956 78336
0 0 0 3 13 14 34 37 90 138 222 310 509 721 1149 1813 2676 4190 6308 8929 12971 18424 25414 33667 43332 53973 65182 76533 86474 95832 103619 109583 114167 116680 117228 116186 114433 110721 107567 103366 99040 94593 90688 86131 82340 78187
0 0 1 2 9 12 23 52 55 121 199 331 539 778 1154 1798 2771 4230 6314 9052 13141 18578 25364 33997 43212 54011 64960 76165 86811 95684 103698 109717 113426 116086 117284 116502 114212 111128 107564 103905 99589 94475 89560 86195 82025 78877
0 0 0 6 10 14 20 51 83 139 220 305 474 758 1206 1828 2702 4192 6199 9030 13017 18446 25273 33507 43321 53862 64542 75806 86297 96103 103705 110077 113877 116132 116845 116471 114844 111187 108035 103040 98807 94785 90163 86161 82365 78089
0 0 1 2 4 18 30 43 80 116 178 292 500 768 1147 1760 2832 4102 6203 9069 13013 18550 25230 33850 43363 54239 64815 76017 86361 95784 103336 109684 113898 116511 116476 116499 113736 111098 107613 103138 99061 94609 90368 85872 81470 78682
0 0 0 1 11 15 25 42 72 105 204 316 443 704 1218 1784 2758 4111 6288 9164 13128 18622 25056 33341 43072 54180 64540 76009 86374 95869 103781 110126 113527 116035 117040 115028 114057 111100 107470 103454 99170 94578 89701 85633 81670 78430
0 0 1 3 6 19 35 38 84 129 181 310 497 786 1130 1820 2698 4131 6045 9166 13119 18445 25334 33494 42813 54099 64951 76002 86523 96254 104236 109912 114365 115993 116899 116261 114254 110652 107248 103099 99064 94827 90000 86227 81707 78201
0 0 2 1 7 17 30 45 97 114 201 304 514 739 1130 1837 2771 4015 6158 9166 13274 18304 25193 33319 42974 53925 64961 76165 86590 96130 103500 109934 113363 116627 116489 116436 114262 110650 107420 102948 99074 94349 89739 86398 82175 78161
0 0 0 1 8 11 30 40 77 110 199 317 507 779 1139 1797 2804 4084 6034 9163 13319 18341 25446 33662 42982 54133 65123 76234 86314 95737 103535 109428 113994 116183 116464 116664 114632 111346 107174 103153 98884 94579 90278 86087 82060 78560
0 0 1 3 8 24 20 39 73 128 209 311 511 674 1163 1745 2699 3993 6131 8986 13296 18546 25155 33188 43396 53712 65260 75679 87053 95747 103727 110159 113964 116425 116565 116297 113737 111429 107374 103219 98699 94920 90584 85824 82024 77868
0 0 2 0 7 14 32 48 80 132 170 284 488 803 1226 1814 2671 4133 6300 9204 13168 18300 25386 33570 42938 53774 64511 76720 86669 96133 103464 109955 114309 116516 116952 116327 113909 110819 107465 103209 98926 94760 89857 86068 81983 78731
0 0 1 4 10 13 26 43 86 124 195 306 465 736 1153 1818 2785 4203 6108 9037 12979 18780 25411 33450 43268 53892 65057 76079 87000 96466 103627 109996 114306 116273 116889 116445 113993 110941 107674 103244 98974 94971 90021 86063 82303 78378
0 0 1 1 10 20 28 33 86 129 201 336 494 758 1198 1785 2734 4224 6172 9026 13325 18366 25370 33585 43264 53708 64765 76712 86605 95552 103409 109922 114155 115755 116865 116216 114012 110858 107497 103479 98911 94274 90277 86136 82524 78219
0 0 1 3 4 14 34 53 72 144 220 302 487 768 1167 1866 2709 4203 6293 9253 13160 18621 25303 33673 42896 53785 64819 75936 87045 95499 103923 109638 114382 115793 117124 116468 114300 110923 107133 103561 98976 94903 89973 86179 82268 78525
0 0 2 4 6 10 28 64 84 110 166 299 501 755 1131 1769 2708 4317 6201 9152 13103 18420 25422 33770 43171 54090 64764 76273 86512 95678 103543 109873 114470 116523 117074 116212 114309 111329 107685 103270 99438 94930 90087 85806 82070 78525
0 0 1 1 6 12 29 30 72 115 183 298 456 785 1206 1802 2655 4169 6111 9157 13197 18735 25138 33630 43277 54178 64850 76330 86845 95699 103477 109823 114146 116197 116506 115906 114112 110754 108203 103135 99402 94692 90274 86493 82030 78719
0 0 2 2 10 10 31 51 80 128 229 317 454 775 1121 1831 2740 4142 5980 9109 13222 18388 25351 33805 43354 53838 64952 75902 87103 96391 103580 109851 114380 115621 117098 116037 114462 110925 107701 103947 99540 93737 90297 86044 81913 78276
0 0 2 3 5 15 30 42 89 144 182 311 471 719 1140 1816 2760 4180 6245 9061 13104 18459 25269 33598 43293 53891 64895 76081 86970 96391 103514 110390 113827 116571 116756 115681 114250 110559 107590 103638 99429 94208 90259 85563 81394 78269
0 0 1 0 7 17 31 45 62 121 207 301 476 702 1116 1847 2762 4221 6135 9242 12977 18320 25127 33772 42976 54058 65221 75773 86365 96017 103340 109504 113870 116709 117049 115359 114016 111526 107403 102977 98707 94626 90267 85958 82079 77808
0 0 0 7 2 12 26 41 80 128 188 301 461 792 1204 1866 2777 4059 6188 8995 13097 18508 25607 33558 42823 53985 65448 76282 87024 95904 103796 110306 114160 116584 116827 115993 114058 111003 107407 103017 98968 94591 90239 85916 81460 77970
